134999,Kiku Cuernavaca,medium
132825,puesto de tacos,low
135106,El Rincón de San Francisco,medium
132667,little pizza Emilio Portes Gil,low
132613,carnitas_mata,medium
135040,Restaurant los Compadres,high
132732,Taqueria EL amigo ,low
132875,shi ro ie,high
132609,Pollo_Frito_Buenos_Aires,low
135082,la Estrella de Dimas,medium
135070,Restaurante 75,medium
135069,Abondance Restaurante Bar,low
135065,El angel Restaurante,high
135076,Restaurante Pueblo Bonito,high
135086,Mcdonalds Parque Tangamanga,medium
132870,Tortas y hamburguesas el gordo,low
132854,Sirlone,medium
132937,rockabilly ,low
132856,Unicols Pizza,low
132668,TACOS EL GUERO,low
135033,Restaurant El Muladar de Calzada,medium
132862,La Posada del Virrey,high
134983,Restaurant and Bar and Clothesline Carlos N Charlies,high
132851,KFC,low
135013,Giovannis,low
135042,Restaurant Oriental Express,medium
132768,Mariscos Tia Licha,medium
132561,cafe ambar,low
135045,Restaurante la Gran Via,high
132847,don burguers,low
135054,Restaurante y Pescaderia Tampico,high
134975,Rincon del Bife,high
135053,La Fontana Pizza Restaurante and Cafe,high
135050,Restaurante la Estrella de Dima,high
135025,El Rincon de San Francisco,medium
135030,Preambulo Wifi Zone Cafe,medium
135057,El Herradero Restaurante and Bar,medium
135079,Koye Sushi,high
134992,Restaurant Teely,high
132954,la parroquia,medium
135041,Luna Cafe,medium
132608,Hamburguesas La perica,low
135046,Restaurante El Reyecito,medium
132564,churchs,low
132869,Dominos Pizza,medium
132925,el pueblito,medium
132955,emilianos,low
135059,Restaurant Bar Hacienda los Martinez,medium
135001,Vips,medium
135063,Restaurante Alhondiga,medium
135080,los Toneles,high
135000,Restaurant los Pinos,medium
135066,Restaurante Guerra,high
135034,Michiko Restaurant Japones,medium
135060,Restaurante Marisco Sam,medium
135055,la Cochinita Pibil Restaurante Yucateco,high
135108,Potzocalli,low
135074,Restaurante la Parroquia Potosina,high
135018,El Oceano Dorado,medium
135064,Restaurante El Chivero S.A. de C.V.,high
135038,Restaurant la Chalita,medium
135081,El Club,medium
132723,Gordas de morales,medium
135051,Restaurante Versalles,low
135021,Subway,low
135052,La Cantina Restaurante,high
132845,Cenaduria El RincÃ³n de Tlaquepaque,medium
135011,Los Vikingos,medium
132858,Hamburguesas Valle Dorado,low
135026,la Cantina,high
132884,dairy queen,low
135016,Arrachela Grill,medium
135104,vips,medium
132630,palomo tec,low
135047,Restaurante Casa de las Flores,high
132951,VIPS,low
132665,TACOS CORRECAMINOS,low
135044,Restaurant Wu Zhuo Yi,medium
135035,El Mundo de la Pasta,high
135071,Restaurante la Cantina,medium
132834,Gorditas Doa Gloria,low
132846,el lechon potosino ,low
135048,Restaurante Bar Fu-hao,high
132717,tortas hawai,medium
132861,Carls Jr,medium
132885,Hamburguesas saul,low
132740,Carreton de Flautas y Migadas,low
132830,Rincon Huasteco,low
132773,El cotorreo,low
132706,Gorditas Dona Tota,medium
132872,Pizzeria Julios,medium
134987,Chilis Cuernavaca,medium
132572,Cafe Chaires,low
132958,tacos los volcanes,low
132733,Little Cesarz,medium
132922,cafe punta del cielo,medium
132715,tacos de la estacion,low
135027,Restaurant Orizatlan,medium
132767,Restaurant Familiar El Chino,medium
135039,Restaurant de Mariscos de Picon,low
134996,Sanborns Casa Piedra,medium
132755,La Estrella de Dimas,medium
135043,pizza clasica,medium
132654,Carnitas Mata  Calle 16 de Septiembre,low
135049,Restaurante de Mariscos la Langosta,medium
135073,Restaurante Bar El Gallinero,high
132560,puesto de gorditas,low
134976,Log Yin,low
135075,Mariscos El Pescador,medium
132660,carnitas mata calle Emilio Portes Gil,low
132921,crudalia,low
132594,tacos de barbacoa enfrente del Tec,low
134986,Restaurant Las Mananitas,high
135062,Restaurante El Cielo Potosino,medium
132766,Mikasa,medium
135088,Cafeteria cenidet,low
135058,Restaurante Tiberius,medium
132754,Cabana Huasteca,medium
132584,Gorditas Dona Tota,medium
135032,Cafeteria y Restaurant El Pacifico,medium
135028,La Virreina,medium
135085,Tortas Locas Hipocampo,medium
132663,tacos abi,low
132626,la perica hamburguesa,medium
132583,McDonalds Centro,low
132866,Chaires,medium
135072,Sushi Itto,medium
135109,Paniroles,medium
135019,Restaurant Bar Coty y Pablo,low
132877,sirloin stockade,low
